Updated date,2025-05-30,,,,,,,,,,,,,
"Google real time rate, USD to HKD",,,7.84910257,,iMoney,05-30 19:26,7.8413,,,,,,,
,,,,,,,,Lowest 2025.05,Lowest in 3 days,Box = 200 usd,,,,
,,,,"1. All watchup price is based on 2025.05.
2. USD price is based on column J, which is lowest price in 3 days. The price includes box, +200 USD.
3. Watchup price gray cells mean that there were no posts in 3 days. The USD price is based on column I.",,,,,,,,,,
Collections,Case size,Bezel/Bracelet,Reference,,Materials,Dial,Hour Markers,Watchup (HKD),Watchup (HKD),Watchup (USD) + box,MSRP,Pre-tax premium,Tax-in Price,Post-tax premium
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0034,,Oystersteel,Bright blue,Roman Numerals,"$76,500.00","$76,500.00","$10,044.79","$9,000.00","$1,044.79","$9,900.00",$144.79
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0032,,Oystersteel,Pink,Gem-set,"$108,000.00","$109,500.00","$14,291.56","$11,000.00","$3,291.56","$12,100.00","$2,191.56"
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0030,,Oystersteel,Silver,Gem-set,"$98,000.00","$98,000.00","$12,811.62","$11,000.00","$1,811.62","$12,100.00",$711.62
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0028,,Oystersteel,Dark grey,Gem Large VI,"$92,000.00","$92,000.00","$12,039.48","$10,600.00","$1,439.48","$11,660.00",$379.48
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0026,,Oystersteel,Aubergine,Gem Large VI,"$94,000.00","$95,000.00","$12,425.55","$10,600.00","$1,825.55","$11,660.00",$765.55
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0024,,Oystersteel,Pink,Gem Large VI,"$94,000.00","$94,500.00","$12,361.21","$10,600.00","$1,761.21","$11,660.00",$701.21
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0022,,Oystersteel,Dark Grey,Roman Numerals,"$78,500.00","$79,000.00","$10,366.51","$9,000.00","$1,366.51","$9,900.00",$466.51
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0020,,Oystersteel,Pink,Roman Numerals,"$81,500.00","$82,000.00","$10,752.58","$9,000.00","$1,752.58","$9,900.00",$852.58
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0018,,Oystersteel,Mint green,Index,"$84,000.00","$84,500.00","$11,074.31","$9,000.00","$2,074.31","$9,900.00","$1,174.31"
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0016,,Oystersteel,Dark Grey,Index,"$78,000.00",8 days ago,"$10,237.82","$9,000.00","$1,237.82","$9,900.00",$337.82
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0014,,Oystersteel,Pink,Index,"$80,000.00","$83,000.00","$10,881.27","$9,000.00","$1,881.27","$9,900.00",$981.27
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0012,,Oystersteel,Silver,Index,"$74,000.00",11 days ago,"$9,723.06","$9,000.00",$723.06,"$9,900.00",-$176.94
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0010,,Oystersteel,White,Roman Numerals,"$79,000.00","$82,000.00","$10,752.58","$9,000.00","$1,752.58","$9,900.00",$852.58
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0008,,Oystersteel,Dark grey,Gem-set,"$103,000.00","$105,000.00","$13,712.45","$11,000.00","$2,712.45","$12,100.00","$1,612.45"
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0006,,Oystersteel,White mother-of-pearl,Gem-set,"$104,500.00","$106,000.00","$13,841.14","$11,450.00","$2,391.14","$12,595.00","$1,246.14"
Rolex Datejust,31mm,Fluted/Jubilee,m278274-0002,,Oystersteel,Bright black,Roman Numerals,"$76,000.00","$76,000.00","$9,980.44","$9,000.00",$980.44,"$9,900.00",$80.44
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0030,,Oystersteel and yellow gold,Olive green,Gem-set,"$145,000.00","$145,000.00","$18,860.05","$14,600.00","$4,260.05","$16,060.00","$2,800.05"
Rolex Datejust,31mm,Fluted/Jubilee,m278273-0028,,Oystersteel and yellow gold,White mother-of-pearl,Gem-set,"$137,500.00","$138,500.00","$18,023.57","$15,050.00","$2,973.57","$16,555.00","$1,468.57"
